"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"872","TOI-4010 e","TOI-4010",1,4,"Radial Velocity",2023,"Roque de los Muchachos Observatory",762,1.57,NA,692,2.17728,"Msini",0.26,0.15,174,0,"K V",4960,0.83,0.88,0.37,4.54,"01h20m51.56s",20.2148196,"+66d04m19.92s",66.0722009,177.504,-0.069,10.157,12.1216,"2023-07"
"873","TOI-4087 b","TOI-4087",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.1774835,0.04469,1.164,232.01474,0.73,"Mass",0,753.9,1458,0,"",6060,1.11,1.18,0.237,4.42,"14h31m42.19s",217.9257785,"+83d22m21.74s",83.3727061,301.676,-0.023,10.436,11.7064,"2023-03"
"874","TOI-411 b","HD 22946",1,3,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",4.040295,0.05727,0.122,13.71,0.04314,"Mass",NA,495.14,1241,0,"",6169,1.12,1.1,-0.08,4.47,"03h39m16.69s",54.819538,"-42d45m46.90s",-42.7630276,62.7792,-0.03,6.981,8.1281,"2023-06"
"875","TOI-411 c","HD 22946",1,3,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",9.573083,0.1017,0.208,9.72,0.03058,"Mass",NA,156.75,931,0,"",6169,1.12,1.1,-0.08,4.47,"03h39m16.69s",54.819538,"-42d45m46.90s",-42.7630276,62.7792,-0.03,6.981,8.1281,"2023-06"
"876","TOI-4127 b","TOI-4127",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",56.39879,0.3081,1.096,731.00534,2.3,"Mass",0.7471,22.3,605,0,"F V",6096,1.29,1.23,0.14,4.26,"07h01m37.09s",105.4045516,"+72d24m53.75s",72.4149297,319.632,-0.01,10.245,11.4122,"2023-06"
"877","TOI-4145 A b","TOI-4145 A",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.0664428,0.04823,1.187,136.66622,0.43,"Mass",0,223,1074,0,"",5281,0.86,0.91,0.168,4.53,"02h37m43.14s",39.4297435,"+80d16m02.58s",80.2673838,205.387,-0.025,10.286,12.0572,"2023-03"
"878","TOI-4184 b","TOI-4184",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.9019804,0.0336,0.217,NA,NA,"",NA,4.8,412,0,"M5.5+/-0.5",3238,0.23,0.21,-0.27,5.01,"02h55m18.83s",43.8284749,"-79d24m52.93s",-79.4147039,69.3649,-0.2,11.867,15.5939,"2023-06"
"879","TOI-4201 b","TOI-4201",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.5819134,0.03924,1.13,816.81901,2.57,"Mass",0.083,53,750,0,"",3926,0.62,0.63,0.433,4.66,"06h01m53.93s",90.4747237,"-13d27m40.94s",-13.461371,189.011,-0.08,11.368,14.5001,"2023-10"
"881","TOI-421 c","TOI-421",2,2,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",16.067531,NA,NA,NA,NA,"",0.152,NA,NA,0,"G9 V",5325,0.87,0.85,-0.02,4.49,"05h27m24.79s",81.8532824,"-14d16m36.27s",-14.2767404,74.7969,-0.006,8.071,9.77776,"2023-03"
"882","TOI-4308 b","TOI-4308",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",9.151201,NA,0.216,NA,NA,"",NA,NA,763,0,"",5243,0.79,0.9,NA,4.59,"21h51m00.74s",327.7530693,"-43d33m44.51s",-43.5623642,108.932,-0.014,9.139,10.8645,"2023-01"
