"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"232","HD 164604 b","HD 164604",1,1,"Radial Velocity",2009,"Las Campanas Observatory",615,NA,NA,4544.94622,14.3,"Mass",0.61,NA,NA,0,"",NA,NA,NA,NA,NA,"18h03m06.89s",270.7787177,"-28d33m39.00s",-28.5608343,39.3633,-0.03,7.169,9.32786,"2023-06"
"233","HD 165131 b","HD 165131",1,1,"Radial Velocity",2023,"Multiple Facilities",2343,3.59,NA,6038.73973,19,"Mass",0.672,NA,NA,0,"G3/5 V",NA,NA,1.1,NA,NA,"18h05m22.66s",271.3444007,"-21d40m25.33s",-21.6737039,57.4263,-0.03,6.927,8.26134,"2023-08"
"235","HD 166724 b","HD 166724",1,1,"Radial Velocity",2012,"La Silla Observatory",4750,5.17,NA,1207.74795,3.8,"Mass",0.729,NA,NA,0,"K0 IV/V",5127,NA,0.81,-0.09,4.43,"18h13m59.73s",273.4988604,"-42d34m32.60s",-42.5757218,45.1342,-0.03,7.246,9.06863,"2023-05"
"236","HD 167042 b","HD 167042",1,1,"Radial Velocity",2007,"Lick Observatory",417.67,1.22,NA,444.00628,1.397,"Msini",0.01,NA,NA,0,"K1 IV",4919,4.63,1.39,-0.01,3.23,"18h10m31.83s",272.6326268,"+54d17m15.43s",54.2876184,49.6633,-0.023,3.55,5.72384,"2023-08"
"237","HD 167677 b","HD 167677",1,1,"Radial Velocity",2023,"Multiple Facilities",1820,2.877,NA,905.81096,2.85,"Mass",0.182,NA,NA,0,"G5 V",5474,NA,0.96,-0.29,4.43,"18h16m49.63s",274.2067844,"-11d24m24.43s",-11.4067857,54.3258,-0.03,7.155,8.7114,"2023-05"
"239","HD 16905 b","HD 16905",1,1,"Radial Velocity",2022,"Multiple Observatories",10256,8.8,NA,3591.461,11.3,"Mass",0.68,NA,NA,0,"K3 V",NA,NA,0.85,NA,NA,"02h40m03.27s",40.0136203,"-61d21m18.14s",-61.3550396,39.7401,-0.03,7.086,9.11324,"2023-08"
"240","HD 169142 b","HD 169142",1,1,"Imaging",2023,"Paranal Observatory",NA,37.2,NA,953.48522,3,"Mass",NA,NA,NA,0,"",NA,NA,1.85,NA,NA,"18h24m29.78s",276.1240717,"-29d46m49.91s",-29.7805318,113.6,-0.002,6.41,8.05449,"2023-03"
"241","HD 169830 c","HD 169830",1,2,"Radial Velocity",2003,"La Silla Observatory",1832,3.29,NA,2828.67282,8.9,"Mass",0.23,NA,NA,0,"F7 V",NA,NA,1.4,NA,NA,"18h27m49.48s",276.9561859,"-29d49m00.45s",-29.8167919,37.6048,-0.03,4.688,5.77641,"2023-08"
"242","HD 17156 b","HD 17156",1,1,"Radial Velocity",2007,"Subaru Telescope",21.2164387,NA,NA,NA,NA,"",0.677,NA,NA,0,"",6100,1.44,1.24,NA,4.22,"02h49m44.79s",42.4366123,"+71d45m11.12s",71.7530882,78.0863,-0.03,6.763,8.03298,"2023-03"
"243","HD 173416 b","HD 173416",1,1,"Radial Velocity",2008,"Xinglong Station",322.03,1.158,NA,585.1221,1.841,"Msini",0.208,NA,NA,0,"G8",4683,13.5,2,-0.22,2.48,"18h43m36.14s",280.9005676,"+36d33m24.69s",36.556857,132.184,-0.023,3.814,5.75681,"2023-08"
"244","HD 175167 b","HD 175167",1,1,"Radial Velocity",2009,"Las Campanas Observatory",898,NA,NA,3019.36987,9.5,"Mass",0.19,NA,NA,0,"",NA,NA,NA,NA,NA,"19h00m00.81s",285.0033888,"-69d56m42.24s",-69.9450664,71.0863,-0.03,6.288,7.82424,"2023-06"
"246","HD 18015 b","HD 18015",1,1,"Radial Velocity",2018,"W. M. Keck Observatory",2240,3.82,NA,1048.83374,3.3,"Mass",0.092,NA,NA,0,"G6 IV",5643,NA,1.5,-0.14,3.63,"02h53m27.27s",43.3636339,"-08d50m52.94s",-8.8480392,123.801,-0.03,6.204,7.72194,"2023-05"
"247","HD 180314 b","HD 180314",1,1,"Radial Velocity",2010,"Subaru Telescope",394.73,1.448,NA,7216.92964,22.707,"Msini",0.247,NA,NA,0,"",4917,9.2,2.6,0.2,2.98,"19h14m50.27s",288.7094401,"+31d51m37.58s",31.8604391,122.362,-0.023,4.312,6.34583,"2023-08"
"248","HD 181234 b","HD 181234",1,1,"Radial Velocity",2019,"La Silla Observatory",7450,7.52,NA,3219.60176,10.13,"Mass",0.7254,NA,NA,0,"G8 IV",5386,NA,1.01,0.32,4.25,"19h19m59.97s",289.9998695,"-09d19m29.89s",-9.32497,47.7458,-0.03,6.689,8.36926,"2023-05"
"249","HD 183579 b","HD 183579",1,1,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",17.471291,0.1322,0.311,20.4,0.06419,"Mass",0.061,NA,752,0,"",5784,0.96,1,-0.038,4.45,"19h33m08.79s",293.2866147,"-54d31m57.82s",-54.5327284,57.2651,-0.03,7.15,8.51549,"2023-03"
"250","HD 18438 b","HD 18438",1,1,"Radial Velocity",2023,"Bohyunsan Optical Astronomical Observatory",803,2.1,NA,6674.39655,21,"Msini",0.1,NA,NA,0,"M2.5 III",3860,88.47,1.84,-0.4,0.9,"03h06m07.64s",46.5318358,"+79d25m06.89s",79.41858,224.146,-0.023,1.325,4.73199,"2023-03"
"251","HD 185283 b","HD 185283",1,1,"Radial Velocity",2023,"La Silla Observatory",4060,4.6,NA,413.17693,1.3,"Mass",0.07,NA,NA,0,"K3 V",NA,NA,0.8,NA,NA,"19h41m17.61s",295.3233609,"-56d19m19.59s",-56.3221096,31.395,-0.03,6.601,8.71311,"2023-08"
"252","HD 189733 b","HD 189733",2,1,"Radial Velocity",2005,"Haute-Provence Observatory",2.21857494,NA,NA,NA,NA,"",NA,NA,NA,0,"",5040,0.76,0.81,-0.03,4.59,"20h00m43.71s",300.1821223,"+22d42m35.19s",22.7097759,19.7638,-0.03,5.541,7.41432,"2023-03"
"253","HD 190007 b","HD 190007",1,1,"Radial Velocity",2020,"Multiple Observatories",11.724128,NA,NA,15.5,0.04877,"Msini",0.136,NA,NA,0,"K4 V",4610,NA,0.77,0.16,4.58,"20h02m46.95s",300.6956339,"+03d19m36.12s",3.3266992,12.7141,-0.03,4.796,7.06341,"2023-08"
"254","HD 190228 b","HD 190228",1,1,"Radial Velocity",2022,"Multiple Observatories",1146.6,2.293,NA,1938.75328,6.1,"Mass",0.547,NA,NA,0,"G5 IV",5360,NA,1.22,-0.24,4.02,"20h03m00.90s",300.7537294,"+28d18m23.60s",28.3065564,62.7146,-0.03,5.352,7.08482,"2023-05"
"255","HD 190984 b","HD 190984",1,1,"Radial Velocity",2009,"La Silla Observatory",9970,8.8,NA,1137.8257,3.58,"Mass",0.745,NA,NA,0,"F8 V",5988,NA,0.91,-0.48,4.02,"20h11m30.72s",302.8779827,"-64d37m12.98s",-64.6202728,148.187,-0.03,7.319,8.61126,"2023-05"
"256","HD 191806 b","HD 191806",1,1,"Radial Velocity",2016,"Haute-Provence Observatory",1604,2.81,NA,3219.60176,10.13,"Mass",0.213,NA,NA,0,"K0",6010,NA,1.14,0.3,4.45,"20h09m28.50s",302.368758,"+52d16m36.22s",52.2767265,65.6668,-0.03,6.639,7.93339,"2023-05"
"257","HD 191939 b","HD 191939",1,6,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",8.880318,NA,NA,NA,NA,"",NA,NA,NA,0,"G8 V",5427,0.94,0.92,-0.16,4.4,"20h08m06.15s",302.0256247,"+66d51m01.09s",66.8503014,53.6089,-0.03,7.18,8.77476,"2023-03"
"258","HD 191939 c","HD 191939",1,6,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",28.57968,NA,NA,NA,NA,"",NA,NA,NA,0,"G8 V",5427,0.94,0.92,-0.16,4.4,"20h08m06.15s",302.0256247,"+66d51m01.09s",66.8503014,53.6089,-0.03,7.18,8.77476,"2023-03"
"259","HD 196050 b","HD 196050",3,1,"Radial Velocity",2002,"Anglo-Australian Telescope",1393,2.585,NA,1446.11925,4.55,"Mass",0.178,NA,NA,0,"G3 V",5892,NA,1.18,0.229,4.27,"20h37m51.31s",309.4637796,"-60d38m05.15s",-60.6347649,50.6742,-0.03,6.034,7.3407,"2023-05"
"261","HD 202772 A b","HD 202772 A",2,1,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",3.3088753,NA,NA,NA,NA,"",0.04,NA,NA,0,"",6272,2.59,1.72,0.3,3.85,"21h18m47.90s",319.6995877,"-26d36m58.95s",-26.6163743,161.498,-0.002,6.959,8.22688,"2023-03"
"262","HD 204313 b","HD 204313",1,3,"Radial Velocity",2010,"La Silla Observatory",2050,3.208,NA,1576.4289,4.96,"Mass",0.091,NA,NA,0,"G5 V",5767,NA,1.04,0.18,4.37,"21h28m12.25s",322.0510568,"-21d43m38.71s",-21.7274194,47.7945,-0.03,6.459,7.83246,"2023-05"
"263","HD 204313 e","HD 204313",1,3,"Radial Velocity",2022,"Multiple Observatories",27000,17.9,NA,6324.7853,19.9,"Mass",0.19,NA,NA,0,"G5 V",5767,NA,1.04,0.18,4.37,"21h28m12.25s",322.0510568,"-21d43m38.71s",-21.7274194,47.7945,-0.03,6.459,7.83246,"2023-05"
"264","HD 207496 b","HD 207496",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",6.441008,0.0629,0.201,6.1,0.01919,"Mass",0.231,72.9,743,0,"K2.5 V",4819,0.77,0.8,0.095,4.51,"21h54m52.36s",328.7181708,"-77d20m19.69s",-77.3388025,23.606,-0.03,5.967,7.97255,"2023-05"
"265","HD 208897 b","HD 208897",1,1,"Radial Velocity",2017,"Multiple Observatories",358.27,1.063,NA,379.48712,1.194,"Msini",0.02,NA,NA,0,"K0",4860,4.98,1.25,0.21,3.13,"21h58m59.78s",329.7490639,"+19d01m12.57s",19.0201591,67.4872,-0.023,4.198,6.23739,"2023-08"
"266","HD 209458 b","HD 209458",1,1,"Radial Velocity",1999,"W. M. Keck Observatory",NA,NA,0.82,NA,NA,"",NA,NA,NA,0,"",6091,1.19,1.23,0.01,4.45,"22h03m10.81s",330.7950219,"+18d53m03.27s",18.8842419,48.3016,-0.03,6.308,7.50866,"2023-09"
"268","HD 210702 b","HD 210702",1,1,"Radial Velocity",2007,"Lick Observatory",355.5,1.079,NA,481.51004,1.515,"Msini",0.071,NA,NA,0,"K1 IV",4912,4.54,1.33,-0.02,3.23,"22h11m51.33s",332.9638643,"+16d02m25.73s",16.0404806,54.1963,-0.023,3.984,5.6807,"2023-08"
"269","HD 213240 b","HD 213240",2,1,"Radial Velocity",2001,"La Silla Observatory",879.19,1.92,NA,1655.886,5.21,"Mass",0.4201,NA,NA,0,"G0/1 V",5975,NA,1.22,0.16,4.32,"22h31m00.15s",337.7506266,"-49d26m02.77s",-49.4341037,40.8707,-0.03,5.354,6.65761,"2023-05"
"270","HD 214823 b","HD 214823",2,1,"Radial Velocity",2016,"Haute-Provence Observatory",1854.6,3.17,NA,6451.91666,20.3,"Mass",0.1636,NA,NA,0,"G0",6215,NA,1.22,0.17,4.05,"22h40m19.97s",340.0832062,"+31d47m15.07s",31.7875183,101.368,-0.03,6.64,7.91589,"2023-05"
"271","HD 215497 c","HD 215497",1,2,"Radial Velocity",2009,"La Silla Observatory",566,1.31,NA,111.23994,0.35,"Mass",0.47,NA,NA,0,"K3 V",NA,NA,0.92,NA,NA,"22h46m36.65s",341.652714,"-56d35m59.27s",-56.5997984,40.5468,-0.03,6.784,8.68605,"2023-08"
"272","HD 216437 b","HD 216437",1,1,"Radial Velocity",2002,"Anglo-Australian Telescope",1359,2.57,NA,1334.87931,4.2,"Mass",0.31,NA,NA,0,"G1 V",NA,NA,1.22,NA,NA,"22h54m39.35s",343.6639631,"-70d04m24.22s",-70.0733957,26.6902,-0.03,4.518,5.89397,"2023-08"
"274","HD 217786 b","HD 217786",2,2,"Radial Velocity",2011,"La Silla Observatory",1302.1,2.372,NA,9185.24096,28.9,"Mass",0.3158,NA,NA,0,"F8 V",5966,NA,1.02,-0.135,4.35,"23h03m08.11s",345.7838088,"-00d25m49.29s",-0.4303594,55.4847,-0.03,6.352,7.63573,"2023-05"
"275","HD 219077 b","HD 219077",1,1,"Radial Velocity",2012,"La Silla Observatory",5380,6.13,NA,3359.44626,10.57,"Mass",0.766,NA,NA,0,"G8 V+",5362,NA,1.05,-0.13,4,"23h14m07.67s",348.5319387,"-62d42m06.59s",-62.7018297,29.1864,-0.03,4.287,5.91597,"2023-05"
"276","HD 219134 b","HD 219134",1,6,"Radial Velocity",2015,"Roque de los Muchachos Observatory",3.0929338,NA,NA,NA,NA,"",NA,NA,NA,0,"K3 V",4699,0.78,0.78,0.11,4.63,"23h13m20.93s",348.3372026,"+57d10m10.65s",57.1696255,6.53127,-0.023,3.261,5.2402,"2023-03"
"277","HD 219666 b","HD 219666",1,1,"Transit",2018,"Transiting Exoplanet Survey Satellite (TESS)",6.04345,0.104,0.378,NA,NA,"",NA,NA,838,0,"G5 V",5527,1.03,0.92,0.04,4.4,"23h18m14.22s",349.5592665,"-56d54m14.35s",-56.9039857,94.1719,-0.003,8.158,9.64956,"2023-03"
"279","HD 220689 b","HD 220689",1,1,"Radial Velocity",2012,"La Silla Observatory",2280,3.433,NA,381.39409,1.2,"Mass",0.053,NA,NA,0,"G3 V",5921,NA,1.04,0,4.32,"23h25m52.97s",351.4707282,"-20d37m00.45s",-20.6167923,46.8778,-0.03,6.326,7.59438,"2023-05"
"280","HD 221420 b","HD 221420",1,1,"Radial Velocity",2019,"Anglo-Australian Telescope",10066,10.1,NA,6992.22495,22,"Mass",0.12,NA,NA,0,"G1 V",NA,NA,1.34,NA,NA,"23h33m19.66s",353.3319001,"-77d23m07.18s",-77.3853286,31.1415,-0.03,4.306,5.65862,"2023-08"
"281","HD 222155 b","HD 222155",1,1,"Radial Velocity",2011,"Haute-Provence Observatory",3270,4.48,NA,581.62598,1.83,"Mass",0.09,NA,NA,0,"G2 V",5765,NA,1.13,-0.11,4.1,"23h38m00.61s",354.5025617,"+48d59m45.67s",48.9960191,50.6078,-0.023,5.51,6.93563,"2023-05"
"282","HD 224538 b","HD 224538",1,1,"Radial Velocity",2016,"Multiple Observatories",1201,2.444,NA,3655.02668,11.5,"Mass",0.484,NA,NA,0,"F8/G0 IV/V",6097,NA,1.34,0.27,4.19,"23h58m51.94s",359.7164302,"-61d35m12.70s",-61.5868613,79.0608,-0.03,6.76,7.92192,"2023-05"
"283","HD 22946 d","HD 22946",1,3,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",47.42489,0.2958,0.233,26.57,0.0836,"Mass",NA,18.56,546,0,"",6169,1.12,1.1,-0.08,4.47,"03h39m16.69s",54.819538,"-42d45m46.90s",-42.7630276,62.7792,-0.03,6.981,8.1281,"2023-06"
"284","HD 235088 b","HD 235088",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",7.4341393,0.072,0.182,NA,NA,"",NA,70,805,0,"K2 V",5037,0.79,0.84,-0.01,4.63,"20h02m27.71s",300.6154535,"+53d22m38.79s",53.3774418,41.1706,-0.03,7.084,8.94271,"2023-07"
"285","HD 23596 b","HD 23596",2,1,"Radial Velocity",2003,"Haute-Provence Observatory",1570,2.901,NA,4640.29474,14.6,"Mass",0.292,NA,NA,0,"F8",6125,NA,1.32,0.32,4.29,"03h48m00.45s",57.0018601,"+40d31m50.63s",40.5307308,52.0018,-0.023,5.874,7.10356,"2023-05"
"286","HD 25015 b","HD 25015",1,1,"Radial Velocity",2019,"La Silla Observatory",6360,6.45,NA,2993.94359,9.42,"Mass",0.341,NA,NA,0,"K2 V",5160,NA,0.86,0.04,4.4,"03h57m44.05s",59.4335463,"-20d16m02.40s",-20.2673347,37.433,-0.03,6.806,8.59876,"2023-05"
"287","HD 25463 b","HD 25463",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",7.049144,0.076,0.234,8.5,0.02674,"Mass",0,461.4,1290,0,"",6220,1.41,1.19,-0.2,NA,"04h02m59.60s",60.7483361,"+09d12m27.96s",9.2077676,45.6181,-0.023,5.706,6.77613,"2023-10"
"288","HD 25463 c","HD 25463",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",3.04405,0.0435,0.134,4.1,0.0129,"Mass",0,1413.5,1707,0,"",6220,1.41,1.19,-0.2,NA,"04h02m59.60s",60.7483361,"+09d12m27.96s",9.2077676,45.6181,-0.023,5.706,6.77613,"2023-10"
"289","HD 2685 b","HD 2685",1,1,"Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",4.1269052,NA,NA,NA,NA,"",0.091,NA,NA,0,"",6801,1.56,1.43,0.02,4.21,"00h29m18.94s",7.3289156,"-76d18m14.52s",-76.304032,196.852,-0.003,8.595,9.52025,"2023-03"
"290","HD 27631 b","HD 27631",1,1,"Radial Velocity",2012,"La Silla Observatory",2170,3.22,NA,495.81231,1.56,"Mass",0.163,NA,NA,0,"G3 IV/V",5737,NA,0.94,-0.12,4.48,"04h19m45.41s",64.9392168,"-41d57m38.38s",-41.9606604,50.2862,-0.03,6.646,8.08478,"2023-05"
"291","HD 28254 b","HD 28254",2,1,"Radial Velocity",2010,"La Silla Observatory",1333,2.45,NA,1207.74795,3.8,"Mass",0.95,NA,NA,0,"G5 V",NA,NA,1.1,NA,NA,"04h24m50.60s",66.2108141,"-50d37m22.11s",-50.6228081,55.2884,-0.03,6.006,7.49977,"2023-08"
"292","HD 284149 AB b","HD 284149 A",2,1,"Imaging",2017,"Paranal Observatory",NA,NA,NA,8981.83078,28.26,"Mass",NA,NA,2502,0,"",NA,NA,NA,NA,NA,"04h06m38.81s",61.6616887,"+20d18m10.92s",20.3030344,117.807,-0.03,8.1,9.41967,"2023-09"
"293","HD 2952 b","HD 2952",1,1,"Radial Velocity",2013,"Okayama Astrophysical Observatory",312.08,1.117,NA,284.77425,0.896,"Msini",0.269,NA,NA,0,"K0 III",4853,10.9,1.91,0,2.65,"00h33m10.52s",8.2938367,"+54d53m41.34s",54.8948177,110.103,-0.023,3.629,5.64532,"2023-08"
"294","HD 30562 b","HD 30562",1,1,"Radial Velocity",2009,"Lick Observatory",1153,2.299,NA,467.20776,1.47,"Mass",0.748,NA,NA,0,"G2 IV",5861,NA,1.22,0.243,4.09,"04h48m36.71s",72.1529519,"-05d40m30.41s",-5.6751152,26.1597,-0.023,4.31,5.61828,"2023-05"
"295","HD 3167 b","HD 3167",1,4,"Transit",2016,"K2",0.959641,0.01796,0.149,4.97,0.01564,"Mass",0,1650,1774,0,"",5261,0.88,0.84,0.04,NA,"00h34m57.64s",8.7401487,"+04d22m50.60s",4.3807215,47.2899,-0.03,7.066,8.76221,"2023-04"
"296","HD 3167 c","HD 3167",1,4,"Transit",2016,"K2",29.8454,0.1776,0.268,11.13,0.03502,"Mass",0.06,16.9,564,0,"",5261,0.88,0.84,0.04,NA,"00h34m57.64s",8.7401487,"+04d22m50.60s",4.3807215,47.2899,-0.03,7.066,8.76221,"2023-04"
"297","HD 3167 d","HD 3167",1,4,"Radial Velocity",2017,"Multiple Observatories",8.4112,0.0763,NA,4.33,0.01362,"Msini",0.12,NA,NA,0,"",5261,0.88,0.84,0.04,NA,"00h34m57.64s",8.7401487,"+04d22m50.60s",4.3807215,47.2899,-0.03,7.066,8.76221,"2023-04"
"298","HD 3167 e","HD 3167",1,4,"Radial Velocity",2022,"CHaracterising ExOPlanets Satellite (CHEOPS)",96.63,0.3885,NA,8.41,0.02646,"Msini",0.15,NA,NA,0,"",5261,0.88,0.84,0.04,NA,"00h34m57.64s",8.7401487,"+04d22m50.60s",4.3807215,47.2899,-0.03,7.066,8.76221,"2023-04"
"299","HD 32518 b","HD 32518",1,1,"Radial Velocity",2009,"Thueringer Landessternwarte Tautenburg",157.35,0.594,NA,905.49313,2.849,"Msini",0.028,NA,NA,0,"K1 III",4580,10.22,1.13,-0.15,2.1,"05h09m36.90s",77.4037569,"+69d38m20.89s",69.6391355,122.115,-0.023,3.911,6.11933,"2023-08"
"300","HD 32963 b","HD 32963",1,1,"Radial Velocity",2015,"W. M. Keck Observatory",2368,3.409,NA,657.9048,2.07,"Mass",0.099,NA,NA,0,"G5 IV",5727,NA,1.03,0.11,4.41,"05h07m55.68s",76.9820146,"+26d19m39.65s",26.3276805,38.0786,-0.03,6.024,7.42756,"2023-05"
"301","HD 332231 b","HD 332231",1,1,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",18.7120712,NA,NA,NA,NA,"",0.032,NA,NA,0,"F8",6089,1.28,1.13,0.036,4.28,"20h26m57.87s",306.741134,"+33d44m39.80s",33.7443882,80.6665,-0.002,7.242,8.41839,"2023-03"
"302","HD 36384 b","HD 36384",1,1,"Radial Velocity",2023,"Bohyunsan Optical Astronomical Observatory",490,1.3,NA,2097.66749,6.6,"Msini",0.2,NA,NA,0,"M0 III",3940,38.4,1.14,-0.16,1.1,"05h39m43.68s",84.9319998,"+75d02m38.36s",75.0439884,209.309,-0.023,2.288,5.48147,"2023-08"
"303","HD 42813 b","HD 42813",1,3,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",13.63083,0.107,0.31,9.6,0.0302,"Mass",NA,61,777,0,"",5289,0.98,0.89,0.24,4.39,"06h12m13.88s",93.0578446,"-14d38m57.54s",-14.6493167,68.192,-0.03,7.587,9.27468,"2023-08"
"305","HD 44219 b","HD 44219",1,1,"Radial Velocity",2010,"La Silla Observatory",472,1.26,NA,184.34048,0.58,"Mass",0.41,NA,NA,0,"G3 V",NA,NA,1.2,NA,NA,"06h20m14.40s",95.0599971,"-10d43m30.29s",-10.7250799,52.9051,-0.03,6.115,7.52973,"2023-08"
"306","HD 4732 b","HD 4732",2,2,"Radial Velocity",2012,"Multiple Observatories",371.74,1.129,NA,631.20722,1.986,"Msini",0.266,NA,NA,0,"K0 IV",4898,5.03,1.39,-0.01,3.17,"00h49m14.04s",12.3085089,"-24d08m12.87s",-24.1369079,54.7841,-0.03,3.691,5.6509,"2023-08"
"307","HD 4732 c","HD 4732",2,2,"Radial Velocity",2012,"Multiple Observatories",3184.2,4.725,NA,1069.49259,3.365,"Msini",0.187,NA,NA,0,"K0 IV",4898,5.03,1.39,-0.01,3.17,"00h49m14.04s",12.3085089,"-24d08m12.87s",-24.1369079,54.7841,-0.03,3.691,5.6509,"2023-08"
"308","HD 47366 b","HD 47366",1,2,"Radial Velocity",2016,"Okayama Astrophysical Observatory",360.08,1.207,NA,661.71874,2.082,"Msini",0.071,NA,NA,0,"K1 III",4866,7.3,1.81,-0.02,2.97,"06h37m40.80s",99.4200181,"-12d59m08.37s",-12.9856593,84.3552,-0.023,4.055,5.83869,"2023-08"
"309","HD 47366 c","HD 47366",1,2,"Radial Velocity",2016,"Okayama Astrophysical Observatory",677.53,1.84,NA,483.73484,1.522,"Msini",0.161,NA,NA,0,"K1 III",4866,7.3,1.81,-0.02,2.97,"06h37m40.80s",99.4200181,"-12d59m08.37s",-12.9856593,84.3552,-0.023,4.055,5.83869,"2023-08"
"310","HD 50554 b","HD 50554",1,1,"Radial Velocity",2002,"Lick Observatory",1240,2.339,NA,1859.29618,5.85,"Mass",0.482,NA,NA,0,"F8 V",6050,NA,1.1,0.02,4.59,"06h54m42.79s",103.678273,"+24d14m42.51s",24.2451409,31.1664,-0.023,5.467,6.69786,"2023-05"
"311","HD 5278 b","HD 5278",1,2,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",14.339169,NA,NA,NA,NA,"",0.08,NA,NA,0,"F V",6203,1.19,1.13,-0.12,4.5,"00h50m11.23s",12.5467785,"-83d44m37.56s",-83.7437671,57.5846,-0.03,6.605,7.80375,"2023-03"
"312","HD 55696 b","HD 55696",1,1,"Radial Velocity",2018,"W. M. Keck Observatory",1706,3.04,NA,1357.1273,4.27,"Mass",0.681,NA,NA,0,"G0 V",6012,NA,1.29,0.36,4.15,"07h12m14.93s",108.0622029,"-38d10m28.70s",-38.174639,77.9693,-0.03,6.591,7.81135,"2023-05"
"313","HD 5608 b","HD 5608",2,1,"Radial Velocity",2012,"Okayama Astrophysical Observatory",768.7,1.79,NA,371.22358,1.168,"Msini",0.11,NA,NA,0,"K0 IV",4807,5.43,1.29,0.04,3.06,"00h58m14.26s",14.5594349,"+33d57m02.08s",33.9505774,58.1105,-0.023,3.826,5.72695,"2023-08"
"314","HD 6061 b","HD 6061",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.254467,0.059,0.219,10.8,0.03398,"Mass",0,339.1,1194,0,"",5920,1.03,1,-0.08,NA,"01h02m23.55s",15.5981441,"+37d11m07.58s",37.1854394,67.6203,-0.002,7.392,8.69933,"2023-10"
"315","HD 62364 b","HD 62364",1,2,"Radial Velocity",2022,"Multiple Observatories",5138,6.15,NA,5965.6392,18.77,"Mass",0.607,0.07,NA,0,"F7 V",6255,1.4,1.16,-0.11,4.14,"07h35m37.26s",113.9052658,"-75d32m39.37s",-75.5442707,53.112,-0.03,6.001,7.1814,"2023-06"
"318","HD 63433 b","HD 63433",1,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",7.107939,NA,NA,NA,NA,"",NA,NA,NA,0,"",5640,0.91,0.99,NA,NA,"07h49m55.05s",117.4793699,"+27d21m47.28s",27.3631342,22.4035,-0.023,5.258,6.71831,"2023-03"
"319","HD 63433 c","HD 63433",1,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",20.543806,NA,NA,NA,NA,"",NA,NA,NA,0,"",5640,0.91,0.99,NA,NA,"07h49m55.05s",117.4793699,"+27d21m47.28s",27.3631342,22.4035,-0.023,5.258,6.71831,"2023-03"
"320","HD 68402 b","HD 68402",1,1,"Radial Velocity",2016,"Multiple Observatories",1150,2.239,NA,2510.84442,7.9,"Mass",0.225,NA,NA,0,"G5 IV/V",5950,NA,1.12,0.29,4.37,"08h05m23.39s",121.3474609,"-74d24m36.26s",-74.4100732,78.4293,-0.03,7.697,8.95443,"2023-05"
"321","HD 6860 b","HD 6860",1,1,"Radial Velocity",2023,"Bohyunsan Optical Astronomical Observatory",663.87,2.03,NA,8981.83078,28.26,"Msini",0.28,NA,NA,0,"M0 III",3802,86.4,2.49,-0.03,0.54,"01h09m43.91s",17.432979,"+35d37m13.80s",35.620499,61.12469,-0.023,-1.846,NA,"2023-07"
"322","HD 69123 b","HD 69123",1,1,"Radial Velocity",2022,"La Silla Observatory",1191,2.48,NA,982.08978,3.09,"Mass",0.224,NA,NA,0,"K 1III",4842,NA,1.68,0.05,2.86,"08h14m13.20s",123.55499,"-35d29m23.73s",-35.4899246,75.116,-0.03,3.586,5.49555,"2023-05"
"323","HD 70642 b","HD 70642",1,1,"Radial Velocity",2003,"Anglo-Australian Telescope",2101,3.295,NA,1239.53079,3.9,"Mass",0.04,NA,NA,0,"G6 V",5732,NA,1.08,0.22,4.46,"08h21m27.87s",125.3661079,"-39d42m16.00s",-39.7044432,29.276,-0.03,5.574,6.99211,"2023-05"
"324","HD 73256 c","HD 73256",1,1,"Radial Velocity",2023,"La Silla Observatory",2690,3.8,NA,5085.25451,16,"Mass",0.16,NA,NA,0,"G8 IV",NA,NA,1,NA,NA,"08h36m22.80s",129.0949961,"-30d02m14.40s",-30.0373339,36.708,-0.03,6.264,7.85676,"2023-08"
